D2_HUB;LENGTH2;RPM;DISC_D1;DISC_WIDTH3;LSB_PITCH;INT_PIECE_WIDTH;WEIGHT_NET_SUM
1400;548.37;3000;835;183;410;160;2729.45
1400;646.8;3000;650;183;430;160;3464.5
1500;446.03;3000;800;156;360;119;3451.185
1500;769.13;3000;800;230;500;210;6017.086
1750;469.19;3000;950;156;355;119;4222.644
1750;853.16;3000;950;315;550;300;7238.91
1755;555.85;3000;800;137;435;137;7103.336
1700;1060;3000;800;367;665;340;12742.914
1940;610.79;3000;900;185;460;185;8989.2
1880;1220;3000;900;415;785;386;13841.029
1782;497.24;3000;948;203;420;174;4781.76
1700;875;3000;948;356;550;320;5296.658
1582;497.24;3000;850;203;420;174;4910.174
1500;875;3000;850;356;600;320;7464.325
1463.05;485.56;3000;800;203;415;174;3965.248
1400;760;3000;800;270;460;235;6767.408
1250;374.91;3600;800;134;320;101;1958.469
1250;642.46;3600;800;192;450;185;4799.226
1350;392.71;3600;800;122;340;122;2121.6
1350;710.08;3600;800;260;460;260;4880
1485;414.7;3600;621;167;350;145;3950.302
1416;729;3600;621;298;500;267;4840.495
1462;463.52;3600;850;130;390;130;3745.244
1416;883.5;3600;850;307.2;530;280;8248.476
1615;511.88;3600;1000;150;390;150;4187.304
1570;1016;3600;1000;370;655;324;8462.214
1048;310.53;4800;610;127;330;109;1327.46
996;547;4800;610;235;365;199;3384.664
1096;347.38;4800;710;90;245;90;1997.48
1062;663;4800;710;230;400;212;5305.152
798.57;264.94;5500;515;112;260;90;795.748
764;414.5;5500;515;147;250;180;1560.492
870;265.9;5500;530;80;260.5;70;824.836
870;467.13;5500;530;176.8;315;48;1555.194
957;303.33;5500;530;78;280;78;1286.376
927.5;578;5500;530;208.8;350;186;2882.154
780;205;5500;400;111;250;75;821.784
780;400;5500;400;186.4;320;150;1804.96
870;477;5500;535;200;320;175;2205.631
927.37;265.12;5500;535;109;260;95;895.85
810;256.16;6500;445;72;195;72;709.798
784.5;489;6500;445;183.32;301;157;1673.282
736;404;6500;455;164;270;148;1147.008
784.47;224.3;6500;455;94.5;245;80;976.914
562.5;167.26;8000;345;62;210;47;337.974
562.5;288.74;8000;345;92;230;86;772.92
637.49;182.45;8000;360;77;170;65;549.562
598;328;8000;360;135;220;120;697.945
1220;432;3000;800;150;316;130;2472.787
1200;660;3000;800;192;380;192;5514.694
1600;670;3000;800;315;550;300;3558.378
1600;405;3000;800;156;355;119;5938.992
1500;646.8;3000;835;183;430;160;4801.387
400;166.12;12000;216;92;138;34;178.8
400;102.872;12000;216;54;105;92;92.6
870;325;5500;450;176.4;315;48;1648.276
870;194;5500;450;70;260;70;1138.418
870;570;5500;530;200;335;150;2505.414
1600;1063.8;3000;1250;300;630;236;7529.95
1750;1063.8;3000;1250;300;700;236;8080.588
1580;440;3000;800;205;365;192;3655.516
1400;335;3000;835;120;310;87;2226.306
1400;390;3000;900;120;300;87;2237.04
1500;400;3000;830;134;320;101;3596.765

