Dh;Lob;Rpm;Span
370;22.5;8000;45.5
370;24.5;8000;45.5
370;26.5;8000;45.5
370;28.5;8000;45.5
370;31;8000;45.75
370;33.5;8000;46.25
370;36;8000;46.75
370;39;8000;47.25
470;40;8000;51
470;45.5;8000;51
570;64.5;8000;53
570;84;8000;56.5
570;107.5;8000;62
450;44.5;6500;48.75
450;49;6500;49.25
450;53.5;6500;49.75
450;59;6500;51
450;65.5;6500;56.5
450;74;6500;59.75
600;54;6500;50.75
720;90.5;6500;62
720;127;6500;75
480;29;5500;45.5
480;31;5500;45.5
480;33;5500;45.5
480;35.5;5500;45.5
480;39;5500;45.5
484;41.5;5500;46.25
494;48.5;5500;47.5
498;52;5500;49
528;47.5;5500;48
543;49.5;5500;49.25
563;51;5500;50.5
650;73;5500;53
677;88.5;5500;61
753;136;5500;76
500;43;4200;47
500;45;4200;47
500;47.5;4200;47.25
500;50;4200;47.5
500;52.5;4200;47.75
506;60;4200;50.25
511;63;4200;50.75
516;65.5;4200;51.25
521;68.5;4200;52
526;71;4200;52.75
550;75;4200;55.5
566;76.5;4200;57.5
635;79.5;4200;57
718;90.5;4200;58.25
814;112.5;4200;61.25
852;130;4200;68
893;153;4200;75.5
992;254.5;4200;118.5
